surface,data,sensor,time
4,6,1,1604.00
4,6,2,1640.00
4,6,3,1628.00
4,6,4,1612.00
4,6,5,1624.00
4,7,1,1604.00
4,7,2,1620.00
4,7,3,1612.00
4,7,4,1660.00
4,7,5,1616.00
4,8,1,1608.00
4,8,2,1616.00
4,8,3,1628.00
4,8,4,1612.00
4,8,5,1616.00
4,9,1,1608.00
4,9,2,1632.00
4,9,3,1620.00
4,9,4,1608.00
4,9,5,1616.00
4,10,1,1604.00
4,10,2,1616.00
4,10,3,1656.00
4,10,4,1612.00
4,10,5,1616.00
4,11,1,1612.00
4,11,2,1612.00
4,11,3,1612.00
4,11,4,1628.00
4,11,5,1620.00
4,12,1,1608.00
4,12,2,1628.00
4,12,3,1620.00
4,12,4,1612.00
4,12,5,1628.00
4,13,1,1604.00
4,13,2,1616.00
4,13,3,1628.00
4,13,4,1616.00
4,13,5,1616.00
4,14,1,1608.00
4,14,2,1628.00
4,14,3,1616.00
4,14,4,1612.00
4,14,5,1616.00
4,15,1,1604.00
4,15,2,1628.00
4,15,3,1616.00
4,15,4,1612.00
4,15,5,1660.00
4,16,1,1608.00
4,16,2,1628.00
4,16,3,1616.00
4,16,4,1612.00
4,16,5,1628.00
4,17,1,1608.00
4,17,2,1632.00
4,17,3,1612.00
4,17,4,1620.00
4,17,5,1624.00
4,18,1,1604.00
4,18,2,1628.00
4,18,3,1616.00
4,18,4,1632.00
4,18,5,1620.00
4,19,1,1608.00
4,19,2,1612.00
4,19,3,1616.00
4,19,4,1628.00
4,19,5,1616.00
4,20,1,1612.00
4,20,2,1616.00
4,20,3,1612.00
4,20,4,1628.00
4,20,5,1616.00
4,21,1,1612.00
4,21,2,1616.00
4,21,3,1612.00
4,21,4,1628.00
4,21,5,1616.00
4,22,1,1608.00
4,22,2,1628.00
4,22,3,1620.00
4,22,4,1612.00
4,22,5,1616.00
4,23,1,1608.00
4,23,2,1616.00
4,23,3,1624.00
4,23,4,1612.00
4,23,5,1616.00
4,24,1,1608.00
4,24,2,1628.00
4,24,3,1616.00
4,24,4,1616.00
4,24,5,1628.00
4,25,1,1612.00
